miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	65765	8414.416372	N
hsa-let-7a-2	65900	8431.689180	N
hsa-let-7a-3	66142	8462.652287	N
hsa-let-7b	215157	27528.633517	N
hsa-let-7c	9630	1232.126962	N
hsa-let-7d	5430	694.750717	N
hsa-let-7e	5812	743.626366	N
hsa-let-7f-1	19133	2448.004690	N
hsa-let-7f-2	19276	2466.301072	N
hsa-let-7g	3018	386.143216	N
hsa-let-7i	6303	806.448208	N
hsa-mir-100	16699	2136.582361	N
hsa-mir-101-1	74864	9578.603623	N
hsa-mir-101-2	75983	9721.776008	N
hsa-mir-103a-1	82848	10600.130275	Y
hsa-mir-103a-2	83658	10703.767123	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	39	4.989922	N
hsa-mir-105-2	43	5.501709	N
hsa-mir-106a	272	34.801509	Y
hsa-mir-106b	12752	1631.576638	N
hsa-mir-107	838	107.219356	Y
hsa-mir-10a	133684	17104.429989	N
hsa-mir-10b	62028	7936.279460	N
hsa-mir-1-1	5	0.639734	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	471	60.262907	N
hsa-mir-1181	2	0.255893	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.127947	N
hsa-mir-1185-2	1	0.127947	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	3	0.383840	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	4	0.511787	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	6	0.767680	N
hsa-mir-1224	69	8.828324	N
