miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	24288	5561.563842	N
hsa-let-7a-2	24076	5513.019230	N
hsa-let-7a-3	24450	5598.659253	N
hsa-let-7b	57357	13133.836350	N
hsa-let-7c	8984	2057.192422	N
hsa-let-7d	3091	707.789601	N
hsa-let-7e	3003	687.639008	N
hsa-let-7f-1	7337	1680.055744	N
hsa-let-7f-2	7480	1712.800459	N
hsa-let-7g	1999	457.739053	N
hsa-let-7i	3562	815.641074	N
hsa-mir-100	39660	9081.506174	N
hsa-mir-101-1	34753	7957.881596	N
hsa-mir-101-2	35496	8128.016721	N
hsa-mir-103a-1	77866	17830.069586	Y
hsa-mir-103a-2	78481	17970.894757	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	2234	511.550297	N
hsa-mir-105-2	2379	544.752980	N
hsa-mir-106a	12	2.747808	Y
hsa-mir-106b	4385	1004.094921	N
hsa-mir-107	452	103.500776	Y
hsa-mir-10a	132970	30448.004942	N
hsa-mir-10b	5047	1155.682341	N
hsa-mir-1-1	12	2.747808	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.228984	N
hsa-mir-1180	117	26.791130	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	8	1.831872	N
hsa-mir-1185-2	7	1.602888	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	10	2.289840	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	13	2.976792	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	1	0.228984	N
hsa-mir-1225	2	0.457968	N
hsa-mir-1226	7	1.602888	N
hsa-mir-1227	2	0.457968	N
hsa-mir-1228	11	2.518824	N
