miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	81747	6721.265351	N
hsa-let-7a-2	81615	6710.412268	Y
hsa-let-7a-3	82099	6750.206907	N
hsa-let-7b	145625	11973.335618	N
hsa-let-7c	11254	925.307599	Y
hsa-let-7d	4469	367.442657	N
hsa-let-7e	7296	599.879531	N
hsa-let-7f-1	32290	2654.894469	N
hsa-let-7f-2	32673	2686.384856	N
hsa-let-7g	3664	301.255291	N
hsa-let-7i	7673	630.876595	N
hsa-mir-100	60450	4970.218974	Y
hsa-mir-101-1	102637	8438.848054	N
hsa-mir-101-2	103718	8527.728231	N
hsa-mir-103a-1	67243	5528.741679	Y
hsa-mir-103a-2	67549	5553.901100	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	5	0.411102	N
hsa-mir-105-2	2	0.164441	N
hsa-mir-106a	188	15.457422	Y
hsa-mir-106b	9006	740.476296	N
hsa-mir-107	659	54.183198	Y
hsa-mir-10a	256678	21104.149973	N
hsa-mir-10b	67951	5586.953673	N
hsa-mir-1-1	29	2.384390	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	458	37.656911	N
hsa-mir-1181	1	0.082220	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	7	0.575542	N
hsa-mir-1185-2	2	0.164441	N
hsa-mir-1193	1	0.082220	N
hsa-mir-1197	2	0.164441	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	21	1.726627	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	2	0.164441	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	11	0.904424	N
hsa-mir-1227	2	0.164441	N
hsa-mir-1228	15	1.233305	N
hsa-mir-1229	9	0.739983	N
hsa-mir-1231	1	0.082220	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.082220	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	3	0.246661	N
hsa-mir-1238	1	0.082220	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	42	3.453254	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	375	30.832624	N
hsa-mir-1248	10	0.822203	N
hsa-mir-1249	34	2.795491	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	1	0.082220	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	1	0.082220	N
hsa-mir-1254-2	1	0.082220	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	5	0.411102	N
hsa-mir-125a	3205	263.516159	N
hsa-mir-125b-1	3422	281.357971	N
hsa-mir-125b-2	3553	292.128834	N
hsa-mir-126	16099	1323.665099	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	1	0.082220	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	9	0.739983	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	2	0.164441	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	73	6.002084	N
hsa-mir-1269b	1	0.082220	N
hsa-mir-127	17378	1428.824902	N
hsa-mir-1270	7	0.575542	N
hsa-mir-1271	28	2.302169	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
