miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	14053	5013.592676	N
hsa-let-7a-2	13839	4937.245360	N
hsa-let-7a-3	14062	5016.803545	N
hsa-let-7b	57386	20473.210654	N
hsa-let-7c	1525	544.063818	N
hsa-let-7d	2000	713.526318	N
hsa-let-7e	1248	445.240423	N
hsa-let-7f-1	3248	1158.766741	N
hsa-let-7f-2	3120	1113.101057	N
hsa-let-7g	946	337.497949	N
hsa-let-7i	1396	498.041370	N
hsa-mir-100	14324	5110.275493	Y
hsa-mir-101-1	11523	4110.981884	N
hsa-mir-101-2	11396	4065.672962	N
hsa-mir-103a-1	20002	7135.976711	Y
hsa-mir-103a-2	19683	7022.169263	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	14	4.994684	N
hsa-mir-105-2	11	3.924395	N
hsa-mir-106a	118	42.098053	Y
hsa-mir-106b	1079	384.947449	N
hsa-mir-107	127	45.308921	Y
hsa-mir-10a	59483	21221.342999	N
hsa-mir-10b	9955	3551.577250	N
hsa-mir-1-1	1	0.356763	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.356763	N
hsa-mir-1180	16	5.708211	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	3	1.070289	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	1	0.356763	N
hsa-mir-1225	0	0.000000	N
