miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	28123	8050.037727	N
hsa-let-7a-2	27830	7966.168259	Y
hsa-let-7a-3	28059	8031.718116	N
hsa-let-7b	80027	22907.242086	N
hsa-let-7c	5373	1537.988575	Y
hsa-let-7d	2284	653.781110	N
hsa-let-7e	3299	944.318688	N
hsa-let-7f-1	6418	1837.113471	N
hsa-let-7f-2	6288	1799.901761	N
hsa-let-7g	1026	293.686261	N
hsa-let-7i	2221	635.747744	N
hsa-mir-100	25111	7187.871044	Y
hsa-mir-101-1	17151	4909.369450	N
hsa-mir-101-2	16923	4844.105837	N
hsa-mir-103a-1	34793	9959.284665	Y
hsa-mir-103a-2	35034	10028.269449	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	184	52.668881	N
hsa-mir-105-2	204	58.393759	N
hsa-mir-106a	17	4.866147	Y
hsa-mir-106b	2737	783.449606	N
hsa-mir-107	311	89.021859	Y
hsa-mir-10a	77226	22105.472869	N
hsa-mir-10b	22416	6416.443683	N
hsa-mir-1-1	17	4.866147	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	246	70.416004	N
hsa-mir-1181	2	0.572488	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	26	7.442342	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	2	0.572488	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	4	1.144976	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	8	2.289951	N
hsa-mir-1229	2	0.572488	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-1243	1	0.286244	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	10	2.862439	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	187	53.527613	N
hsa-mir-1248	4	1.144976	N
hsa-mir-1249	14	4.007415	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	2	0.572488	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	5	1.431220	N
hsa-mir-1254-2	1	0.286244	N
hsa-mir-1255a	1	0.286244	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	3	0.858732	N
hsa-mir-125a	2636	754.538970	N
hsa-mir-125b-1	1502	429.938366	N
hsa-mir-125b-2	1504	430.510854	N
hsa-mir-126	14028	4015.429692	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	1	0.286244	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	1	0.286244	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	27	7.728586	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	2250	644.048817	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	2964	848.426975	N
hsa-mir-1270	2	0.572488	N
hsa-mir-1271	18	5.152391	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	1	0.286244	N
hsa-mir-1275	1	0.286244	N
hsa-mir-1276	1	0.286244	N
hsa-mir-1277	1	0.286244	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-128-1	651	186.344791	N
hsa-mir-1282	0	0.000000	N
hsa-mir-128-2	477	136.538349	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	0	0.000000	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	1	0.286244	N
hsa-mir-1287	125	35.780490	N
hsa-mir-1288	3	0.858732	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	3	0.858732	N
hsa-mir-129-1	32	9.159805	N
hsa-mir-1292	4	1.144976	N
hsa-mir-129-2	21	6.011122	N
hsa-mir-1293	7	2.003707	N
hsa-mir-1294	0	0.000000	N
hsa-mir-1295a	11	3.148683	N
hsa-mir-1295b	1	0.286244	N
hsa-mir-1296	22	6.297366	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	1	0.286244	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	92	26.334441	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	0	0.000000	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	57	16.315903	N
hsa-mir-1307	6582	1884.057473	N
hsa-mir-130a	261	74.709663	N
hsa-mir-130b	105	30.055611	N
hsa-mir-132	657	188.062255	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	55	15.743416	Y
hsa-mir-133a-2	40	11.449757	Y
hsa-mir-133b	20	5.724878	Y
hsa-mir-134	823	235.578745	N
hsa-mir-1343	6	1.717464	N
hsa-mir-135a-1	1	0.286244	N
hsa-mir-135a-2	1	0.286244	N
hsa-mir-135b	94	26.906928	N
hsa-mir-136	55	15.743416	N
hsa-mir-137	2	0.572488	N
hsa-mir-138-1	8	2.289951	N
