miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	28387	7481.862013	N
hsa-let-7a-2	28261	7448.652635	N
hsa-let-7a-3	28839	7600.994067	N
hsa-let-7b	43148	11372.367004	N
hsa-let-7c	2498	658.389097	N
hsa-let-7d	3653	962.808396	N
hsa-let-7e	3984	1050.048905	N
hsa-let-7f-1	16058	4232.350731	N
hsa-let-7f-2	16206	4271.358572	N
hsa-let-7g	1963	517.381024	N
hsa-let-7i	4165	1097.754440	N
hsa-mir-100	13879	3658.039345	N
hsa-mir-101-1	11846	3122.208666	N
hsa-mir-101-2	11888	3133.278459	N
hsa-mir-103a-1	37609	9912.472204	Y
hsa-mir-103a-2	38071	10034.239923	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	475	125.194084	N
hsa-mir-105-2	535	141.008073	N
hsa-mir-106a	93	24.511684	Y
hsa-mir-106b	2194	578.264884	N
hsa-mir-107	145	38.217141	Y
hsa-mir-10a	79275	20894.233666	N
hsa-mir-10b	26425	6964.744555	N
hsa-mir-1-1	13	3.426364	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.263566	N
hsa-mir-1180	94	24.775250	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.263566	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	20	5.271330	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	3	0.790699	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	3	0.790699	N
hsa-mir-1229	1	0.263566	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.263566	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	31	8.170561	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	441	116.232823	N
hsa-mir-1248	7	1.844965	N
hsa-mir-1249	10	2.635665	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
