miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	52731	11367.374594	N
hsa-let-7a-2	52435	11303.565015	N
hsa-let-7a-3	52955	11415.662923	N
hsa-let-7b	162634	35059.483030	N
hsa-let-7c	8341	1798.093560	N
hsa-let-7d	2204	475.122672	N
hsa-let-7e	4627	997.455809	N
hsa-let-7f-1	10495	2262.437586	N
hsa-let-7f-2	10762	2319.995551	N
hsa-let-7g	1333	287.358676	N
hsa-let-7i	1484	319.910184	N
hsa-mir-100	28780	6204.188064	Y
hsa-mir-101-1	42108	9077.343676	N
hsa-mir-101-2	42313	9121.536121	N
hsa-mir-103a-1	44617	9618.216083	Y
hsa-mir-103a-2	44717	9639.773373	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	136	29.317914	N
hsa-mir-105-2	122	26.299894	N
hsa-mir-106a	32	6.898333	Y
hsa-mir-106b	2185	471.026787	N
hsa-mir-107	484	104.337284	Y
hsa-mir-10a	85193	18365.302076	N
hsa-mir-10b	27519	5932.350637	N
hsa-mir-1-1	42	9.054062	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	141	30.395779	N
hsa-mir-1181	1	0.215573	N
hsa-mir-1182	1	0.215573	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	37	7.976197	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	7	1.509010	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	4	0.862292	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	12	2.586875	N
hsa-mir-1229	1	0.215573	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.215573	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	1	0.215573	N
hsa-mir-1243	0	0.000000	N
hsa-mir-124-3	1	0.215573	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	4	0.862292	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	69	14.874530	N
hsa-mir-1248	8	1.724583	N
hsa-mir-1249	23	4.958177	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	3	0.646719	N
hsa-mir-1254-2	3	0.646719	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	5	1.077865	N
hsa-mir-125a	2531	545.615010	N
hsa-mir-125b-1	1690	364.318201	N
hsa-mir-125b-2	1762	379.839450	N
hsa-mir-126	12801	2759.548694	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	3	0.646719	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	8	1.724583	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	5	1.077865	N
