miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	35675	9762.303307	N
hsa-let-7a-2	35674	9762.029662	N
hsa-let-7a-3	35743	9780.911201	N
hsa-let-7b	38529	10543.287572	N
hsa-let-7c	2855	781.257910	N
hsa-let-7d	2619	716.677571	N
hsa-let-7e	3172	868.003534	N
hsa-let-7f-1	19544	5348.127704	N
hsa-let-7f-2	19768	5409.424296	N
hsa-let-7g	1789	489.551804	N
hsa-let-7i	1334	365.043101	N
hsa-mir-100	9518	2604.557894	N
hsa-mir-101-1	12758	3491.169323	N
hsa-mir-101-2	12656	3463.257482	N
hsa-mir-103a-1	64344	17607.446223	Y
hsa-mir-103a-2	64692	17702.674857	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1	0.273646	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	338	92.492180	Y
hsa-mir-106b	4818	1318.424032	N
hsa-mir-107	251	68.685021	Y
hsa-mir-10a	65573	17943.756545	N
hsa-mir-10b	5774	1580.029132	N
hsa-mir-1-1	5	1.368228	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.273646	N
hsa-mir-1180	87	23.807159	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.273646	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	1	0.273646	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	7	1.915519	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	2	0.547291	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	0	0.000000	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	1	0.273646	N
hsa-mir-1229	2	0.547291	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.273646	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	1	0.273646	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	7	1.915519	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	3	0.820937	N
hsa-mir-1247	15	4.104683	N
hsa-mir-1248	135	36.942143	N
hsa-mir-1249	2	0.547291	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	6	1.641873	N
hsa-mir-1254-2	4	1.094582	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.273646	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	2353	643.887868	N
hsa-mir-125b-1	641	175.406767	N
hsa-mir-125b-2	714	195.382889	N
hsa-mir-126	8895	2434.076746	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	1	0.273646	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	22	6.020201	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	85	23.259868	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	1595	436.464577	N
hsa-mir-1270	0	0.000000	N
hsa-mir-1271	10	2.736455	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	10	2.736455	N
hsa-mir-1278	2	0.547291	N
hsa-mir-1279	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-128-1	443	121.224958	N
hsa-mir-1282	0	0.000000	N
hsa-mir-128-2	281	76.894386	N
hsa-mir-1283-1	1	0.273646	N
hsa-mir-1283-2	1	0.273646	N
hsa-mir-1284	0	0.000000	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	80	21.891640	N
hsa-mir-1288	2	0.547291	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	4	1.094582	N
hsa-mir-129-1	211	57.739201	N
hsa-mir-1292	2	0.547291	N
hsa-mir-129-2	202	55.276392	N
hsa-mir-1293	27	7.388429	N
hsa-mir-1294	0	0.000000	N
