miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	78556	9537.831155	N
hsa-let-7a-2	78365	9514.641001	Y
hsa-let-7a-3	79296	9627.677825	N
hsa-let-7b	189686	23030.615617	N
hsa-let-7c	18349	2227.833187	Y
hsa-let-7d	5612	681.377723	N
hsa-let-7e	8088	981.999827	N
hsa-let-7f-1	24529	2978.174301	N
hsa-let-7f-2	24633	2990.801401	N
hsa-let-7g	4836	587.160134	N
hsa-let-7i	8931	1084.352182	N
hsa-mir-100	73289	8898.341406	Y
hsa-mir-101-1	52132	6329.576528	N
hsa-mir-101-2	52858	6417.723397	N
hsa-mir-103a-1	58759	7134.189888	Y
hsa-mir-103a-2	59116	7177.534836	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	125	15.176802	N
hsa-mir-105-2	145	17.605091	N
hsa-mir-106a	76	9.227496	Y
hsa-mir-106b	7451	904.658841	N
hsa-mir-107	469	56.943363	Y
hsa-mir-10a	424539	51545.156330	N
hsa-mir-10b	98561	11966.726621	N
hsa-mir-1-1	36	4.370919	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	146	17.726505	N
hsa-mir-1181	5	0.607072	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	6	0.728487	N
hsa-mir-1185-2	4	0.485658	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	2	0.242829	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	34	4.128090	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	67	8.134766	N
hsa-mir-1224	6	0.728487	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	19	2.306874	N
hsa-mir-1227	1	0.121414	N
hsa-mir-1228	16	1.942631	N
hsa-mir-1229	4	0.485658	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	1	0.121414	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	28	3.399604	N
hsa-mir-1245b	1	0.121414	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	240	29.139461	N
hsa-mir-1248	23	2.792532	N
hsa-mir-1249	22	2.671117	N
hsa-mir-1250	4	0.485658	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	2	0.242829	N
hsa-mir-1254-2	2	0.242829	N
hsa-mir-1255a	3	0.364243	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	7	0.849901	N
hsa-mir-125a	6607	802.185071	N
hsa-mir-125b-1	4166	505.812473	N
hsa-mir-125b-2	4311	523.417563	N
hsa-mir-126	36835	4472.300150	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	7	0.849901	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	24	2.913946	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	9188	1115.555688	N
hsa-mir-1269b	2	0.242829	N
hsa-mir-127	12410	1506.752949	N
hsa-mir-1270	2	0.242829	N
hsa-mir-1271	75	9.106081	N
hsa-mir-1272	1	0.121414	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	14	1.699802	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-128-1	741	89.968085	N
hsa-mir-1282	0	0.000000	N
hsa-mir-128-2	615	74.669868	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	1	0.121414	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	272	33.024722	N
hsa-mir-1288	2	0.242829	N
hsa-mir-1289-1	1	0.121414	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	6	0.728487	N
hsa-mir-129-1	111	13.477001	N
hsa-mir-1292	7	0.849901	N
hsa-mir-129-2	108	13.112757	N
hsa-mir-1293	9	1.092730	N
hsa-mir-1294	1	0.121414	N
hsa-mir-1295a	15	1.821216	N
hsa-mir-1295b	15	1.821216	N
hsa-mir-1296	51	6.192135	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	2	0.242829	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	179	21.733181	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	0	0.000000	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	145	17.605091	N
hsa-mir-1307	7194	873.455335	N
hsa-mir-130a	976	118.500474	N
hsa-mir-130b	301	36.545740	N
hsa-mir-132	1167	141.690628	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	19	2.306874	Y
hsa-mir-133a-2	28	3.399604	Y
hsa-mir-133b	6	0.728487	Y
hsa-mir-134	5884	714.402446	N
hsa-mir-1343	15	1.821216	N
hsa-mir-135a-1	1	0.121414	N
hsa-mir-135a-2	1	0.121414	N
hsa-mir-135b	153	18.576406	N
hsa-mir-136	352	42.737876	N
hsa-mir-137	4	0.485658	N
hsa-mir-138-1	50	6.070721	N
hsa-mir-138-2	34	4.128090	N
hsa-mir-139	294	35.695839	N
hsa-mir-140	7424	901.380652	N
hsa-mir-141	10216	1240.369712	N
hsa-mir-142	43835	5322.201088	N
hsa-mir-143	455080	55253.274122	N
hsa-mir-144	418	50.751227	N
hsa-mir-145	25286	3070.085017	N
hsa-mir-1468	32	3.885261	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	1845	224.009604	N
hsa-mir-146b	9190	1115.798517	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	15	1.821216	N
hsa-mir-148a	1130799	137295.304394	N
hsa-mir-148b	1395	169.373115	N
hsa-mir-149	1062	128.942114	N
hsa-mir-150	7320	888.753552	N
hsa-mir-151a	12373	1502.260615	N
hsa-mir-151b	6	0.728487	N
hsa-mir-152	5135	623.463045	N
hsa-mir-153-1	7	0.849901	N
hsa-mir-153-2	128	15.541046	N
hsa-mir-1537	2	0.242829	N
hsa-mir-1538	4	0.485658	N
