miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	5468	3644.227918	N
hsa-let-7a-2	5488	3657.557208	N
hsa-let-7a-3	5479	3651.559027	N
hsa-let-7b	10629	7083.851232	N
hsa-let-7c	1002	667.797435	N
hsa-let-7d	896	597.152197	N
hsa-let-7e	373	248.591261	N
hsa-let-7f-1	2735	1822.780423	N
hsa-let-7f-2	2747	1830.777997	N
hsa-let-7g	1394	929.051521	N
hsa-let-7i	705	469.857477	N
hsa-mir-100	3904	2601.877431	Y
hsa-mir-101-1	13238	8822.657127	N
hsa-mir-101-2	13415	8940.621345	N
hsa-mir-103a-1	3170	2112.692483	Y
hsa-mir-103a-2	3265	2176.006611	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	26	17.328077	N
hsa-mir-105-2	31	20.660400	N
hsa-mir-106a	127	84.640992	Y
hsa-mir-106b	972	647.803500	N
hsa-mir-107	61	40.654335	Y
hsa-mir-10a	13732	9151.890593	N
hsa-mir-10b	4691	3126.384997	N
hsa-mir-1-1	13	8.664039	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	2	1.332929	N
hsa-mir-1180	1	0.666465	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	8	5.331716	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	0	0.000000	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	5	3.332323	N
hsa-mir-1229	0	0.000000	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	3	1.999394	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	6	3.998787	N
hsa-mir-1247	31	20.660400	N
hsa-mir-1248	26	17.328077	N
hsa-mir-1249	1	0.666465	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	0	0.000000	N
hsa-mir-1254-2	0	0.000000	N
hsa-mir-1255a	1	0.666465	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	1	0.666465	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	419	279.248628	N
hsa-mir-125b-1	202	134.625830	N
hsa-mir-125b-2	199	132.626437	N
hsa-mir-126	18470	12309.599422	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	1	0.666465	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	3	1.999394	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	19	12.662826	N
hsa-mir-1269b	29	19.327471	N
hsa-mir-127	771	513.844134	N
hsa-mir-1270	2	1.332929	N
hsa-mir-1271	6	3.998787	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	1	0.666465	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	10	6.664645	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-128-1	69	45.986051	N
hsa-mir-1282	0	0.000000	N
hsa-mir-128-2	54	35.989083	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	0	0.000000	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	38	25.325651	N
hsa-mir-1288	2	1.332929	N
hsa-mir-1289-1	1	0.666465	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	7	4.665252	N
hsa-mir-129-1	1	0.666465	N
hsa-mir-1292	0	0.000000	N
hsa-mir-129-2	6	3.998787	N
hsa-mir-1293	2	1.332929	N
hsa-mir-1294	0	0.000000	N
hsa-mir-1295a	2	1.332929	N
hsa-mir-1295b	7	4.665252	N
hsa-mir-1296	5	3.332323	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	13	8.664039	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	2	1.332929	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	9	5.998181	N
hsa-mir-1307	1662	1107.664009	N
hsa-mir-130a	207	137.958153	N
hsa-mir-130b	68	45.319586	N
hsa-mir-132	85	56.649483	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	1	0.666465	N
hsa-mir-133a-2	1	0.666465	N
hsa-mir-133b	0	0.000000	N
hsa-mir-134	837	557.830791	N
hsa-mir-1343	0	0.000000	N
hsa-mir-135a-1	4	2.665858	N
hsa-mir-135a-2	1	0.666465	N
hsa-mir-135b	95	63.314128	N
hsa-mir-136	104	69.312309	N
hsa-mir-137	0	0.000000	N
hsa-mir-138-1	7	4.665252	N
hsa-mir-138-2	5	3.332323	N
hsa-mir-139	23	15.328684	N
hsa-mir-140	850	566.494830	N
hsa-mir-141	8679	5784.245446	N
hsa-mir-142	53365	35565.878350	N
hsa-mir-143	149005	99306.543682	N
hsa-mir-144	176	117.297753	N
hsa-mir-145	2217	1477.551809	N
hsa-mir-1468	0	0.000000	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	377	251.257119	N
hsa-mir-146b	1906	1270.281348	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	20	13.329290	N
hsa-mir-148a	296139	197366.132273	N
hsa-mir-148b	511	340.563362	N
hsa-mir-149	158	105.301392	N
hsa-mir-150	2237	1490.881099	N
hsa-mir-151a	2336	1556.861085	N
hsa-mir-151b	3	1.999394	N
hsa-mir-152	489	325.901143	N
hsa-mir-153-1	3	1.999394	N
hsa-mir-153-2	36	23.992722	N
hsa-mir-1537	2	1.332929	N
hsa-mir-1538	2	1.332929	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	24	15.995148	N
hsa-mir-155	1770	1179.642175	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	148	98.636747	N
hsa-mir-15b	462	307.906602	N
hsa-mir-16-1	1429	952.377779	N
hsa-mir-16-2	1549	1032.353519	N
hsa-mir-17	669	445.864754	Y
