miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	56937	10217.758841	N
hsa-let-7a-2	56807	10194.429395	N
hsa-let-7a-3	57215	10267.647963	N
hsa-let-7b	85821	15401.202759	N
hsa-let-7c	13462	2415.853830	N
hsa-let-7d	4357	781.895345	N
hsa-let-7e	6569	1178.854836	N
hsa-let-7f-1	21434	3846.487223	N
hsa-let-7f-2	21735	3900.503862	N
hsa-let-7g	3058	548.780346	N
hsa-let-7i	5127	920.077447	N
hsa-mir-100	54689	9814.338887	N
hsa-mir-101-1	27451	4926.281643	N
hsa-mir-101-2	27721	4974.735108	N
hsa-mir-103a-1	65862	11819.415016	Y
hsa-mir-103a-2	66454	11925.653722	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	3114	558.829953	N
hsa-mir-105-2	3080	552.728406	N
hsa-mir-106a	54	9.690693	Y
hsa-mir-106b	2747	492.969133	N
hsa-mir-107	465	83.447633	Y
hsa-mir-10a	226439	40636.125790	N
hsa-mir-10b	38314	6875.726017	N
hsa-mir-1-1	4	0.717829	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.179457	N
hsa-mir-1180	95	17.048441	N
hsa-mir-1181	2	0.358915	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.179457	N
hsa-mir-1185-2	1	0.179457	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	5	0.897286	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	8	1.435658	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	5	0.897286	N
hsa-mir-1224	21	3.768603	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	11	1.974030	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	8	1.435658	N
hsa-mir-1229	7	1.256201	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	2	0.358915	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	1	0.179457	N
hsa-mir-1243	1	0.179457	N
hsa-mir-124-3	1	0.179457	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	7	1.256201	N
hsa-mir-1245b	1	0.179457	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	355	63.707332	N
hsa-mir-1248	0	0.000000	N
hsa-mir-1249	15	2.691859	N
hsa-mir-1250	1	0.179457	N
hsa-mir-1251	17	3.050774	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	4	0.717829	N
hsa-mir-1254-2	5	0.897286	N
hsa-mir-1255a	2	0.358915	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	7	1.256201	N
hsa-mir-125a	4363	782.972089	N
hsa-mir-125b-1	2707	485.790842	N
hsa-mir-125b-2	2914	522.938498	N
hsa-mir-126	11218	2013.151706	N
hsa-mir-1260a	1	0.179457	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	2	0.358915	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	30	5.383718	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	535	96.009642	N
hsa-mir-1269b	1	0.179457	N
hsa-mir-127	10351	1857.562249	N
hsa-mir-1270	1	0.179457	N
hsa-mir-1271	29	5.204261	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	1	0.179457	N
hsa-mir-1275	1	0.179457	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	4	0.717829	N
hsa-mir-1278	1	0.179457	N
hsa-mir-1279	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-128-1	901	161.691004	N
hsa-mir-1282	0	0.000000	N
hsa-mir-128-2	635	113.955369	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	0	0.000000	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	188	33.737968	N
hsa-mir-1288	3	0.538372	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	2	0.358915	N
hsa-mir-129-1	16	2.871316	N
hsa-mir-1292	3	0.538372	N
hsa-mir-129-2	13	2.332945	N
hsa-mir-1293	17	3.050774	N
hsa-mir-1294	3	0.538372	N
hsa-mir-1295a	7	1.256201	N
hsa-mir-1295b	3	0.538372	N
hsa-mir-1296	36	6.460462	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	2	0.358915	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	167	29.969365	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	4	0.717829	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	95	17.048441	N
hsa-mir-1307	7099	1273.967192	N
hsa-mir-130a	537	96.368556	N
hsa-mir-130b	293	52.580981	N
hsa-mir-132	961	172.458441	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	8	1.435658	Y
hsa-mir-133a-2	8	1.435658	Y
hsa-mir-133b	2	0.358915	Y
hsa-mir-134	2892	518.990438	N
hsa-mir-1343	16	2.871316	N
hsa-mir-135a-1	1	0.179457	N
