miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	25097	4686.992843	N
hsa-let-7a-2	25284	4721.916048	Y
hsa-let-7a-3	25409	4745.260436	N
hsa-let-7b	55754	10412.344064	N
hsa-let-7c	6324	1181.039277	Y
hsa-let-7d	3727	696.036272	N
hsa-let-7e	2737	511.148719	N
hsa-let-7f-1	13124	2450.973984	N
hsa-let-7f-2	13341	2491.499841	N
hsa-let-7g	1485	277.331329	N
hsa-let-7i	4006	748.140946	N
hsa-mir-100	5797	1082.619337	Y
hsa-mir-101-1	19451	3632.573526	N
hsa-mir-101-2	19521	3645.646384	N
hsa-mir-103a-1	55107	10291.513512	Y
hsa-mir-103a-2	55484	10361.920186	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	2	0.373510	N
hsa-mir-105-2	7	1.307286	N
hsa-mir-106a	45	8.403980	Y
hsa-mir-106b	4559	851.416519	N
hsa-mir-107	401	74.888797	Y
hsa-mir-10a	50373	9407.414850	N
hsa-mir-10b	34442	6432.219289	N
hsa-mir-1-1	3	0.560265	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	358	66.858327	N
hsa-mir-1181	3	0.560265	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	1	0.186755	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	1	0.186755	N
hsa-mir-1224	47	8.777490	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	3	0.560265	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	8	1.494041	N
hsa-mir-1229	6	1.120531	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	2	0.373510	N
hsa-mir-1237	1	0.186755	N
hsa-mir-1238	1	0.186755	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	7	1.307286	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	35	6.536429	N
hsa-mir-1248	31	5.789408	N
hsa-mir-1249	20	3.735102	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	1	0.186755	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	2	0.373510	N
hsa-mir-1254-2	3	0.560265	N
hsa-mir-1255a	1	0.186755	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	2	0.373510	N
hsa-mir-125a	2792	521.420250	N
hsa-mir-125b-1	1468	274.156493	N
hsa-mir-125b-2	1804	336.906207	N
hsa-mir-126	5237	978.036479	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	4	0.747020	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
