miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	18649	6082.363201	N
hsa-let-7a-2	18800	6131.611785	N
hsa-let-7a-3	18924	6172.054331	N
hsa-let-7b	36234	11817.703268	N
hsa-let-7c	1800	587.069214	N
hsa-let-7d	2452	799.718729	N
hsa-let-7e	2148	700.569261	N
hsa-let-7f-1	6130	1999.296822	N
hsa-let-7f-2	6318	2060.612939	N
hsa-let-7g	1150	375.071998	N
hsa-let-7i	1922	626.859460	N
hsa-mir-100	17673	5764.041228	N
hsa-mir-101-1	13919	4539.675768	N
hsa-mir-101-2	13864	4521.737542	N
hsa-mir-103a-1	34662	11304.996155	Y
hsa-mir-103a-2	34571	11275.316544	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	229	74.688250	N
hsa-mir-105-2	211	68.817558	N
hsa-mir-106a	32	10.436786	Y
hsa-mir-106b	2008	654.908323	N
hsa-mir-107	178	58.054622	Y
hsa-mir-10a	73777	24062.336314	N
hsa-mir-10b	20442	6667.149368	N
hsa-mir-1-1	4	1.304598	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	2	0.652299	N
hsa-mir-1180	134	43.704041	N
hsa-mir-1181	3	0.978449	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	2	0.652299	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	3	0.978449	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	3	0.978449	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	1	0.326150	N
hsa-mir-1224	1	0.326150	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	1	0.326150	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	9	2.935346	N
hsa-mir-1229	1	0.326150	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	5	1.630748	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	46	15.002880	N
hsa-mir-1248	20	6.522991	N
hsa-mir-1249	17	5.544543	N
hsa-mir-1250	1	0.326150	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	0	0.000000	N
hsa-mir-1254-2	4	1.304598	N
