miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	36443	10675.147496	N
hsa-let-7a-2	35978	10538.936328	Y
hsa-let-7a-3	36218	10609.238867	N
hsa-let-7b	37034	10848.267496	N
hsa-let-7c	5613	1644.200612	Y
hsa-let-7d	2684	786.216719	N
hsa-let-7e	2919	855.054621	N
hsa-let-7f-1	24609	7208.646509	N
hsa-let-7f-2	25192	7379.423092	N
hsa-let-7g	1826	534.885145	N
hsa-let-7i	1600	468.683588	N
hsa-mir-100	5640	1652.109647	N
hsa-mir-101-1	8872	2598.850495	N
hsa-mir-101-2	9275	2716.900174	N
hsa-mir-103a-1	119317	34951.199786	Y
hsa-mir-103a-2	119172	34908.725336	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	986	288.826261	N
hsa-mir-105-2	984	288.240407	N
hsa-mir-106a	31	9.080745	Y
hsa-mir-106b	1531	448.471608	N
hsa-mir-107	253	74.110592	Y
hsa-mir-10a	51886	15198.822901	N
hsa-mir-10b	66072	19354.288762	N
hsa-mir-1-1	9	2.636345	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	42	12.302944	N
hsa-mir-1181	1	0.292927	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	15	4.393909	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
