miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	36074	8954.548851	N
hsa-let-7a-2	35783	8882.314729	N
hsa-let-7a-3	35861	8901.676452	N
hsa-let-7b	48760	12103.559405	N
hsa-let-7c	4143	1028.405386	N
hsa-let-7d	1344	333.617388	N
hsa-let-7e	4428	1099.150144	N
hsa-let-7f-1	17214	4272.983421	N
hsa-let-7f-2	17564	4359.862949	N
hsa-let-7g	2928	726.809310	N
hsa-let-7i	1995	495.213310	N
hsa-mir-100	12940	3212.060269	N
hsa-mir-101-1	18124	4498.870194	N
hsa-mir-101-2	18463	4583.019222	N
hsa-mir-103a-1	24329	6039.120114	Y
hsa-mir-103a-2	24473	6074.864834	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	13	3.226954	Y
hsa-mir-106b	1370	340.071296	N
hsa-mir-107	167	41.453946	Y
hsa-mir-10a	219044	54372.683885	N
hsa-mir-10b	39500	9804.975318	N
hsa-mir-1-1	252	62.553260	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.248227	N
hsa-mir-1180	32	7.943271	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.248227	N
hsa-mir-1185-2	1	0.248227	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.248227	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	250	62.056806	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	18	4.468090	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	2	0.496454	N
hsa-mir-1227	1	0.248227	N
hsa-mir-1228	2	0.496454	N
hsa-mir-1229	3	0.744682	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	1	0.248227	N
hsa-mir-1243	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	11	2.730499	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	111	27.553222	N
hsa-mir-1248	3	0.744682	N
hsa-mir-1249	10	2.482272	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	4	0.992909	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	0	0.000000	N
hsa-mir-1254-2	1	0.248227	N
hsa-mir-1255a	2	0.496454	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	1	0.248227	N
hsa-mir-125a	2546	631.986510	N
hsa-mir-125b-1	1446	358.936565	N
hsa-mir-125b-2	1525	378.546515	N
hsa-mir-126	8882	2204.754197	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	3	0.744682	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	5	1.241136	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	1	0.248227	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	3855	956.915946	N
hsa-mir-1270	1	0.248227	N
hsa-mir-1271	6	1.489363	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	1	0.248227	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	13	3.226954	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-128-1	212	52.624171	N
hsa-mir-1282	0	0.000000	N
hsa-mir-128-2	144	35.744720	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	0	0.000000	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	85	21.099314	N
hsa-mir-1288	3	0.744682	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	1	0.248227	N
hsa-mir-129-1	29	7.198589	N
hsa-mir-1292	2	0.496454	N
hsa-mir-129-2	35	8.687953	N
