miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	76162	16980.880512	N
hsa-let-7a-2	76214	16992.474296	N
hsa-let-7a-3	75868	16915.331040	N
hsa-let-7b	156804	34960.610118	N
hsa-let-7c	12308	2744.159520	N
hsa-let-7d	3536	788.377321	N
hsa-let-7e	9705	2163.801441	N
hsa-let-7f-1	19817	4418.346539	N
hsa-let-7f-2	20197	4503.070346	N
hsa-let-7g	2586	576.567803	N
hsa-let-7i	5179	1154.696308	N
hsa-mir-100	40320	8989.641846	Y
hsa-mir-101-1	17450	3890.606404	N
hsa-mir-101-2	17656	3936.535626	N
hsa-mir-103a-1	60285	13440.986078	Y
hsa-mir-103a-2	60505	13490.036703	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	23	5.128020	Y
hsa-mir-106b	2968	661.737525	N
hsa-mir-107	674	150.273279	Y
hsa-mir-10a	156885	34978.669667	N
hsa-mir-10b	34381	7665.497924	N
hsa-mir-1-1	7	1.560702	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	62	13.823358	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	2	0.445915	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	9	2.006616	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	1	0.222957	N
hsa-mir-1226	6	1.337744	N
hsa-mir-1227	1	0.222957	N
hsa-mir-1228	4	0.891830	N
hsa-mir-1229	6	1.337744	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.222957	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
