miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	25213	6938.632743	N
hsa-let-7a-2	25491	7015.138510	N
hsa-let-7a-3	25401	6990.370456	N
hsa-let-7b	57567	15842.472975	N
hsa-let-7c	3146	865.781089	N
hsa-let-7d	1735	477.473042	N
hsa-let-7e	3474	956.046886	N
hsa-let-7f-1	7369	2027.953226	N
hsa-let-7f-2	7497	2063.178903	N
hsa-let-7g	905	249.056544	N
hsa-let-7i	1786	491.508273	N
hsa-mir-100	26817	7380.054506	Y
hsa-mir-101-1	8292	2281.963380	N
hsa-mir-101-2	8517	2343.883515	N
hsa-mir-103a-1	16382	4508.336239	Y
hsa-mir-103a-2	16338	4496.227413	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	7	1.926404	Y
hsa-mir-106b	1233	339.322341	N
hsa-mir-107	117	32.198470	Y
hsa-mir-10a	196824	54166.083012	N
hsa-mir-10b	28193	7758.730533	N
hsa-mir-1-1	21	5.779213	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.275201	N
hsa-mir-1180	39	10.732823	N
hsa-mir-1181	1	0.275201	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.275201	N
hsa-mir-1185-2	1	0.275201	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	20	5.504012	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	4	1.100802	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	0	0.000000	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	1	0.275201	N
hsa-mir-1229	2	0.550401	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	9	2.476805	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	179	49.260908	N
hsa-mir-1248	3	0.825602	N
hsa-mir-1249	3	0.825602	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	7	1.926404	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	0	0.000000	N
hsa-mir-1254-2	1	0.275201	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.275201	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	4	1.100802	N
hsa-mir-125a	2335	642.593402	N
hsa-mir-125b-1	1664	457.933799	N
hsa-mir-125b-2	1756	483.252255	N
hsa-mir-126	1756	483.252255	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	4	1.100802	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	6	1.651204	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	0	0.000000	N
hsa-mir-1269b	1	0.275201	N
hsa-mir-127	3586	986.869354	N
hsa-mir-1270	1	0.275201	N
hsa-mir-1271	13	3.577608	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	1	0.275201	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-128-1	122	33.574473	N
hsa-mir-1282	0	0.000000	N
hsa-mir-128-2	81	22.291249	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	0	0.000000	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	67	18.438440	N
hsa-mir-1288	0	0.000000	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	0	0.000000	N
hsa-mir-129-1	11	3.027207	N
hsa-mir-1292	1	0.275201	N
hsa-mir-129-2	12	3.302407	N
hsa-mir-1293	24	6.604814	N
hsa-mir-1294	0	0.000000	N
hsa-mir-1295a	6	1.651204	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	10	2.752006	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	11	3.027207	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	1	0.275201	N
hsa-mir-1304	0	0.000000	N
hsa-mir-1305	1	0.275201	N
hsa-mir-1306	19	5.228811	N
hsa-mir-1307	2404	661.582244	N
hsa-mir-130a	143	39.353686	N
hsa-mir-130b	74	20.364844	N
hsa-mir-132	435	119.712261	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	12	3.302407	Y
hsa-mir-133a-2	21	5.779213	Y
hsa-mir-133b	6	1.651204	Y
hsa-mir-134	1189	327.213514	N
hsa-mir-1343	1	0.275201	N
hsa-mir-135a-1	0	0.000000	N
