miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	95942	14908.892004	N
hsa-let-7a-2	95485	14837.876561	Y
hsa-let-7a-3	95499	14840.052088	N
hsa-let-7b	129299	20092.397774	N
hsa-let-7c	20059	3117.065151	Y
hsa-let-7d	2988	464.319790	N
hsa-let-7e	14316	2224.632569	N
hsa-let-7f-1	43945	6828.826365	N
hsa-let-7f-2	44590	6929.056038	N
hsa-let-7g	3664	569.366704	N
hsa-let-7i	3559	553.050245	N
hsa-mir-100	44139	6858.972964	N
hsa-mir-101-1	26825	4168.466657	N
hsa-mir-101-2	26995	4194.883780	N
hsa-mir-103a-1	29429	4573.114827	Y
hsa-mir-103a-2	29474	4580.107595	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1	0.155395	N
hsa-mir-105-2	1	0.155395	N
hsa-mir-106a	10	1.553948	Y
hsa-mir-106b	1259	195.642107	N
hsa-mir-107	179	27.815677	Y
hsa-mir-10a	366059	56883.680744	N
hsa-mir-10b	152535	23703.152340	N
hsa-mir-1-1	94	14.607115	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	5	0.776974	N
hsa-mir-1180	65	10.100665	N
hsa-mir-1181	2	0.310790	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	2	0.310790	N
hsa-mir-1185-2	1	0.155395	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.155395	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	106	16.471853	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	43	6.681978	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	1	0.155395	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	6	0.932369	N
hsa-mir-1229	2	0.310790	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	1	0.155395	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	17	2.641712	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	679	105.513098	N
hsa-mir-1248	2	0.310790	N
hsa-mir-1249	14	2.175528	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	9	1.398554	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	1	0.155395	N
hsa-mir-1254-2	1	0.155395	N
hsa-mir-1255a	1	0.155395	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	2	0.310790	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	4	0.621579	N
hsa-mir-125a	3730	579.622763	N
hsa-mir-125b-1	3632	564.394069	N
hsa-mir-125b-2	3721	578.224210	N
hsa-mir-126	8358	1298.790096	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	4	0.621579	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	23	3.574081	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	316	49.104770	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	10627	1651.380994	N
hsa-mir-1270	5	0.776974	N
hsa-mir-1271	13	2.020133	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	1	0.155395	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	7	1.087764	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-128-1	218	33.876076	N
hsa-mir-1282	0	0.000000	N
hsa-mir-128-2	131	20.356724	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	0	0.000000	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	131	20.356724	N
hsa-mir-1288	1	0.155395	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	0	0.000000	N
hsa-mir-129-1	163	25.329359	N
hsa-mir-1292	0	0.000000	N
hsa-mir-129-2	149	23.153832	N
hsa-mir-1293	4	0.621579	N
hsa-mir-1294	1	0.155395	N
hsa-mir-1295a	8	1.243159	N
hsa-mir-1295b	3	0.466185	N
hsa-mir-1296	30	4.661845	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	37	5.749609	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	1	0.155395	N
hsa-mir-1304	4	0.621579	N
hsa-mir-1305	1	0.155395	N
hsa-mir-1306	22	3.418687	N
hsa-mir-1307	5165	802.614363	N
hsa-mir-130a	567	88.108876	N
hsa-mir-130b	82	12.742377	N
hsa-mir-132	662	102.871386	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	28	4.351056	N
hsa-mir-133a-2	27	4.195661	Y
hsa-mir-133b	2	0.310790	Y
hsa-mir-134	3679	571.697626	N
hsa-mir-1343	3	0.466185	N
hsa-mir-135a-1	11	1.709343	N
hsa-mir-135a-2	11	1.709343	N
hsa-mir-135b	134	20.822909	N
hsa-mir-136	583	90.595193	N
hsa-mir-137	9	1.398554	N
hsa-mir-138-1	4	0.621579	N
hsa-mir-138-2	2	0.310790	N
hsa-mir-139	261	40.558054	N
hsa-mir-140	5141	798.884887	N
hsa-mir-141	3631	564.238674	N
hsa-mir-142	7427	1154.117497	N
hsa-mir-143	469739	72995.018041	N
hsa-mir-144	17	2.641712	N
hsa-mir-145	11369	1766.683967	N
hsa-mir-1468	50	7.769742	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	396	61.536358	N
hsa-mir-146b	2488	386.622369	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	2	0.310790	N
hsa-mir-148a	132648	20612.815102	N
hsa-mir-148b	441	68.529126	N
hsa-mir-149	242	37.605552	N
hsa-mir-150	3888	604.175149	N
hsa-mir-151a	7301	1134.537747	N
hsa-mir-151b	3	0.466185	N
hsa-mir-152	1552	241.172796	N
hsa-mir-153-1	14	2.175528	N
hsa-mir-153-2	152	23.620016	N
hsa-mir-1537	0	0.000000	N
hsa-mir-1538	3	0.466185	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	86	13.363956	N
hsa-mir-155	1288	200.148557	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	465	72.258602	N
hsa-mir-15b	635	98.675725	N
hsa-mir-16-1	444	68.995310	N
hsa-mir-16-2	495	76.920447	N
hsa-mir-17	1616	251.118066	Y
hsa-mir-181a-1	6118	950.705648	N
hsa-mir-181a-2	10073	1565.292251	N
hsa-mir-181b-1	935	145.294178	N
hsa-mir-181b-2	876	136.125882	N
hsa-mir-181c	546	84.845584	N
hsa-mir-181d	161	25.018570	N
hsa-mir-182	26638	4139.407821	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	6301	979.142904	N
hsa-mir-184	85	13.208562	N
hsa-mir-185	347	53.922010	N
hsa-mir-186	921	143.118650	N
hsa-mir-187	37	5.749609	N
hsa-mir-188	8	1.243159	N
