miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	39571	8601.701298	N
hsa-let-7a-2	39357	8555.183291	Y
hsa-let-7a-3	39850	8662.348607	N
hsa-let-7b	106136	23071.192767	N
hsa-let-7c	19395	4215.966154	Y
hsa-let-7d	1477	321.061202	N
hsa-let-7e	4100	891.232855	N
hsa-let-7f-1	9698	2108.091764	N
hsa-let-7f-2	9696	2107.657016	N
hsa-let-7g	1369	297.584824	N
hsa-let-7i	3309	719.290127	N
hsa-mir-100	65962	14338.415027	Y
hsa-mir-101-1	31194	6780.760413	N
hsa-mir-101-2	31492	6845.537825	N
hsa-mir-103a-1	40535	8811.249706	Y
hsa-mir-103a-2	40412	8784.512721	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	22	4.782225	Y
hsa-mir-106b	1426	309.975135	N
hsa-mir-107	264	57.386701	Y
hsa-mir-10a	246361	53552.443293	N
hsa-mir-10b	106730	23200.312844	N
hsa-mir-1-1	23	4.999599	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	3	0.652122	N
hsa-mir-1180	61	13.259806	N
hsa-mir-1181	1	0.217374	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	6	1.304243	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	2	0.434748	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	40	8.694955	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	1	0.217374	N
hsa-mir-1224	107	23.259004	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	4	0.869495	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	7	1.521617	N
hsa-mir-1229	3	0.652122	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	1	0.217374	N
hsa-mir-1243	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	10	2.173739	N
hsa-mir-1245b	2	0.434748	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	788	171.290607	N
hsa-mir-1248	2	0.434748	N
hsa-mir-1249	4	0.869495	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	12	2.608486	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	0	0.000000	N
hsa-mir-1254-2	2	0.434748	N
hsa-mir-1255a	2	0.434748	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	7	1.521617	N
hsa-mir-125a	3103	674.511110	N
hsa-mir-125b-1	4286	931.664395	N
hsa-mir-125b-2	4157	903.623166	N
hsa-mir-126	10043	2183.085748	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	1	0.217374	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	5	1.086869	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	27	5.869094	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	28	6.086468	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	9015	1959.625413	N
hsa-mir-1270	3	0.652122	N
hsa-mir-1271	14	3.043234	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	4	0.869495	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	1	0.217374	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-128-1	290	63.038421	N
hsa-mir-1282	0	0.000000	N
hsa-mir-128-2	236	51.300233	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	0	0.000000	N
hsa-mir-1285-1	1	0.217374	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	117	25.432742	N
hsa-mir-1288	4	0.869495	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	0	0.000000	N
hsa-mir-129-1	349	75.863480	N
hsa-mir-1292	0	0.000000	N
hsa-mir-129-2	330	71.733376	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	1	0.217374	N
hsa-mir-1295a	1	0.217374	N
hsa-mir-1295b	1	0.217374	N
hsa-mir-1296	6	1.304243	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	30	6.521216	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
