miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	44030	9862.381365	N
hsa-let-7a-2	44304	9923.755258	N
hsa-let-7a-3	44805	10035.975405	N
hsa-let-7b	91878	20579.965366	N
hsa-let-7c	4158	931.360021	N
hsa-let-7d	2251	504.206688	N
hsa-let-7e	3667	821.379797	N
hsa-let-7f-1	16045	3593.956598	N
hsa-let-7f-2	16386	3670.337975	N
hsa-let-7g	1755	393.106502	N
hsa-let-7i	4002	896.417221	N
hsa-mir-100	28326	6344.806145	N
hsa-mir-101-1	15943	3571.109382	N
hsa-mir-101-2	16020	3588.356790	N
hsa-mir-103a-1	32706	7325.892458	Y
hsa-mir-103a-2	32600	7302.149273	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1	0.223992	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	13	2.911900	Y
hsa-mir-106b	1790	400.946233	N
hsa-mir-107	312	69.885600	Y
hsa-mir-10a	108604	24326.460727	N
hsa-mir-10b	44587	9987.145081	N
hsa-mir-1-1	15	3.359885	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	2	0.447985	N
hsa-mir-1180	26	5.823800	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	3	0.671977	N
hsa-mir-1185-2	1	0.223992	N
hsa-mir-1193	1	0.223992	N
hsa-mir-1197	1	0.223992	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	13	2.911900	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	2	0.447985	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	2	0.447985	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	5	1.119962	N
hsa-mir-1229	1	0.223992	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.223992	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	1	0.223992	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	7	1.567946	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	227	50.846254	N
hsa-mir-1248	3	0.671977	N
hsa-mir-1249	8	1.791938	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	1	0.223992	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	5	1.119962	N
hsa-mir-1254-2	3	0.671977	N
hsa-mir-1255a	1	0.223992	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	3859	864.386320	N
hsa-mir-125b-1	2094	469.039895	N
hsa-mir-125b-2	2250	503.982695	N
hsa-mir-126	3683	824.963674	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	0	0.000000	N
hsa-mir-1263	0	0.000000	N
