miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	40784	8008.352375	N
hsa-let-7a-2	40518	7956.120575	Y
hsa-let-7a-3	40949	8040.751800	N
hsa-let-7b	123036	24159.367469	N
hsa-let-7c	11793	2315.675254	Y
hsa-let-7d	2212	434.348653	N
hsa-let-7e	4282	840.814164	N
hsa-let-7f-1	10371	2036.451120	N
hsa-let-7f-2	10306	2023.687710	N
hsa-let-7g	1817	356.786393	N
hsa-let-7i	2691	528.405165	N
hsa-mir-100	45213	8878.031482	Y
hsa-mir-101-1	37903	7442.638782	N
hsa-mir-101-2	38370	7534.338972	N
hsa-mir-103a-1	28223	5541.872526	Y
hsa-mir-103a-2	28506	5597.442448	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	1	0.196360	N
hsa-mir-106a	12	2.356322	Y
hsa-mir-106b	1241	243.682947	N
hsa-mir-107	253	49.679118	Y
hsa-mir-10a	158494	31121.905683	N
hsa-mir-10b	43032	8449.769994	N
hsa-mir-1-1	16	3.141762	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	2	0.392720	N
hsa-mir-1180	125	24.545019	N
hsa-mir-1181	2	0.392720	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.196360	N
hsa-mir-1185-2	1	0.196360	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	2	0.392720	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	13	2.552682	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	55	10.799808	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	2	0.392720	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	13	2.552682	N
hsa-mir-1229	2	0.392720	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	1	0.196360	N
hsa-mir-1243	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	8	1.570881	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	632	124.099615	N
hsa-mir-1248	0	0.000000	N
hsa-mir-1249	6	1.178161	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	11	2.159962	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	2	0.392720	N
hsa-mir-1254-2	0	0.000000	N
hsa-mir-1255a	1	0.196360	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	3	0.589080	N
hsa-mir-125a	2961	581.422405	N
hsa-mir-125b-1	2843	558.251908	N
hsa-mir-125b-2	2899	569.248076	N
hsa-mir-126	6486	1273.591936	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	0	0.000000	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	16	3.141762	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	2	0.392720	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	8485	1666.115876	N
hsa-mir-1270	2	0.392720	N
hsa-mir-1271	17	3.338123	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	1	0.196360	N
hsa-mir-1276	1	0.196360	N
hsa-mir-1277	8	1.570881	N
hsa-mir-1278	1	0.196360	N
hsa-mir-1279	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-128-1	276	54.195402	N
hsa-mir-1282	0	0.000000	N
hsa-mir-128-2	234	45.948275	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	0	0.000000	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	82	16.101532	N
hsa-mir-1288	1	0.196360	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	1	0.196360	N
hsa-mir-129-1	210	41.235632	N
hsa-mir-1292	1	0.196360	N
hsa-mir-129-2	224	43.984674	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	0	0.000000	N
hsa-mir-1295a	5	0.981801	N
hsa-mir-1295b	2	0.392720	N
hsa-mir-1296	7	1.374521	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	34	6.676245	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	3	0.589080	N
hsa-mir-1305	2	0.392720	N
hsa-mir-1306	24	4.712644	N
hsa-mir-1307	5662	1111.791172	N
hsa-mir-130a	205	40.253831	N
hsa-mir-130b	108	21.206896	N
hsa-mir-132	1078	211.676242	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	16	3.141762	Y
hsa-mir-133a-2	9	1.767241	Y
hsa-mir-133b	4	0.785441	Y
hsa-mir-134	2657	521.728920	N
hsa-mir-1343	1	0.196360	N
hsa-mir-135a-1	11	2.159962	N
hsa-mir-135a-2	8	1.570881	N
hsa-mir-135b	113	22.188697	N
hsa-mir-136	391	76.776819	N
hsa-mir-137	1	0.196360	N
hsa-mir-138-1	1	0.196360	N
hsa-mir-138-2	4	0.785441	N
hsa-mir-139	176	34.559386	N
hsa-mir-140	4981	978.069909	N
hsa-mir-141	5607	1100.991363	N
hsa-mir-142	18853	3701.977916	N
hsa-mir-143	312605	61383.164827	N
hsa-mir-144	36	7.068965	N
hsa-mir-145	5913	1161.077570	N
hsa-mir-1468	37	7.265326	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	472	92.681991	N
hsa-mir-146b	3962	777.978916	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	8	1.570881	N
hsa-mir-148a	468146	91925.218986	N
hsa-mir-148b	770	151.197316	N
hsa-mir-149	34	6.676245	N
hsa-mir-150	7150	1403.975076	N
hsa-mir-151a	7588	1489.980822	N
hsa-mir-151b	7	1.374521	N
hsa-mir-152	1795	352.466470	N
hsa-mir-153-1	4	0.785441	N
hsa-mir-153-2	239	46.930076	N
hsa-mir-1537	0	0.000000	N
hsa-mir-1538	2	0.392720	N
hsa-mir-1539	1	0.196360	N
hsa-mir-154	49	9.621647	N
hsa-mir-155	1511	296.700187	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	387	75.991378	N
hsa-mir-15b	496	97.394635	N
hsa-mir-16-1	497	97.590995	N
hsa-mir-16-2	473	92.878351	N
hsa-mir-17	1743	342.255742	Y
hsa-mir-181a-1	4169	818.625467	N
hsa-mir-181a-2	7450	1462.883121	N
hsa-mir-181b-1	918	180.258618	N
hsa-mir-181b-2	929	182.418580	N
hsa-mir-181c	545	107.016282	N
hsa-mir-181d	104	20.421456	N
hsa-mir-182	31042	6095.411790	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	11920	2340.612993	N
hsa-mir-184	17	3.338123	N
hsa-mir-185	371	72.849616	N
hsa-mir-186	737	144.717431	N
hsa-mir-187	9	1.767241	N
hsa-mir-188	16	3.141762	N
hsa-mir-18a	19	3.730843	Y
hsa-mir-18b	1	0.196360	Y
hsa-mir-1908	0	0.000000	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190a	6	1.178161	N
hsa-mir-190b	1	0.196360	N
hsa-mir-191	1148	225.421453	N
hsa-mir-1910	0	0.000000	N
hsa-mir-1911	0	0.000000	N
hsa-mir-1912	0	0.000000	N
hsa-mir-1913	1	0.196360	N
hsa-mir-1914	0	0.000000	N
hsa-mir-1915	0	0.000000	N
hsa-mir-192	43873	8614.908880	Y
hsa-mir-193a	1020	200.287353	N
hsa-mir-193b	107	21.010536	N
hsa-mir-194-1	6958	1366.273927	N
