miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	56044	10521.089016	N
hsa-let-7a-2	55931	10499.875629	Y
hsa-let-7a-3	56164	10543.616507	N
hsa-let-7b	68603	12878.778635	N
hsa-let-7c	21428	4022.658901	Y
hsa-let-7d	1761	330.590924	N
hsa-let-7e	8976	1685.056295	N
hsa-let-7f-1	29337	5507.408259	N
hsa-let-7f-2	29876	5608.594238	N
hsa-let-7g	3130	587.592046	N
hsa-let-7i	3555	667.376908	N
hsa-mir-100	55653	10447.686943	N
hsa-mir-101-1	22446	4213.767113	N
hsa-mir-101-2	22694	4260.323927	N
hsa-mir-103a-1	39685	7450.028863	Y
hsa-mir-103a-2	39826	7476.498665	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	3	0.563187	N
hsa-mir-105-2	1	0.187729	N
hsa-mir-106a	28	5.256414	Y
hsa-mir-106b	2262	424.643197	N
hsa-mir-107	198	37.170359	Y
hsa-mir-10a	323576	60744.627428	N
hsa-mir-10b	135550	25446.677899	N
hsa-mir-1-1	106	19.899283	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	3	0.563187	N
hsa-mir-1180	56	10.512829	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	6	1.126375	N
hsa-mir-1185-2	1	0.187729	N
hsa-mir-1193	1	0.187729	N
hsa-mir-1197	3	0.563187	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	74	13.891953	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	3	0.563187	N
hsa-mir-1224	29	5.444144	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	3	0.563187	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	4	0.750916	N
hsa-mir-1229	0	0.000000	N
hsa-mir-1231	1	0.187729	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	1	0.187729	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-1243	1	0.187729	N
hsa-mir-124-3	2	0.375458	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	18	3.379124	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	1393	261.506620	N
hsa-mir-1248	12	2.252749	N
hsa-mir-1249	15	2.815936	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	0	0.000000	N
hsa-mir-1254-2	1	0.187729	N
hsa-mir-1255a	1	0.187729	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	6	1.126375	N
hsa-mir-125a	3001	563.374994	N
hsa-mir-125b-1	3225	605.426309	N
hsa-mir-125b-2	3379	634.336589	N
hsa-mir-126	9292	1744.378687	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	4	0.750916	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	1	0.187729	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	43	8.072351	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	0	0.000000	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	12353	2319.017426	N
hsa-mir-1270	1	0.187729	N
hsa-mir-1271	9	1.689562	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	1	0.187729	N
hsa-mir-1277	1	0.187729	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-128-1	205	38.484463	N
hsa-mir-1282	0	0.000000	N
hsa-mir-128-2	103	19.336096	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	2	0.375458	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	117	21.964303	N
hsa-mir-1288	3	0.563187	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	0	0.000000	N
hsa-mir-129-1	128	24.029323	N
hsa-mir-1292	0	0.000000	N
hsa-mir-129-2	128	24.029323	N
hsa-mir-1293	1	0.187729	N
hsa-mir-1294	0	0.000000	N
hsa-mir-1295a	2	0.375458	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	30	5.631873	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	35	6.570518	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	1	0.187729	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	7	1.314104	N
hsa-mir-1305	4	0.750916	N
hsa-mir-1306	22	4.130040	N
hsa-mir-1307	2365	443.979293	N
hsa-mir-130a	474	88.983588	N
hsa-mir-130b	95	17.834263	N
hsa-mir-132	914	171.584387	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	37	6.945976	Y
hsa-mir-133a-2	35	6.570518	Y
hsa-mir-133b	2	0.375458	Y
hsa-mir-134	3719	698.164479	N
hsa-mir-1343	3	0.563187	N
hsa-mir-135a-1	3	0.563187	N
hsa-mir-135a-2	2	0.375458	N
hsa-mir-135b	156	29.285738	N
hsa-mir-136	528	99.120959	N
hsa-mir-137	6	1.126375	N
hsa-mir-138-1	4	0.750916	N
hsa-mir-138-2	4	0.750916	N
hsa-mir-139	597	112.074266	N
hsa-mir-140	9991	1875.601320	N
hsa-mir-141	2713	509.309016	N
hsa-mir-142	5725	1074.749030	N
hsa-mir-143	870684	163452.713389	N
hsa-mir-144	368	69.084304	N
hsa-mir-145	9265	1739.310002	N
hsa-mir-1468	43	8.072351	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	591	110.947891	N
hsa-mir-146b	3922	736.273484	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	0	0.000000	N
hsa-mir-148a	62546	11741.703548	N
hsa-mir-148b	381	71.524783	N
hsa-mir-149	159	29.848925	N
hsa-mir-150	14710	2761.494887	N
hsa-mir-151a	7180	1347.894853	N
hsa-mir-151b	12	2.252749	N
hsa-mir-152	1442	270.705345	N
hsa-mir-153-1	3	0.563187	N
hsa-mir-153-2	68	12.765578	N
hsa-mir-1537	0	0.000000	N
hsa-mir-1538	2	0.375458	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	107	20.087012	N
hsa-mir-155	1530	287.225505	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	511	95.929564	N
hsa-mir-15b	673	126.341676	N
hsa-mir-16-1	655	122.962553	N
hsa-mir-16-2	652	122.399365	N
hsa-mir-17	2047	384.281443	Y
hsa-mir-181a-1	5777	1084.510942	N
hsa-mir-181a-2	7814	1466.915095	N
hsa-mir-181b-1	1059	198.805104	N
hsa-mir-181b-2	958	179.844466	N
hsa-mir-181c	357	67.019284	N
hsa-mir-181d	75	14.079682	N
hsa-mir-182	72305	13573.751719	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	13235	2484.594482	N
hsa-mir-184	18	3.379124	N
hsa-mir-185	400	75.091635	N
hsa-mir-186	1191	223.585344	N
hsa-mir-187	4	0.750916	N
hsa-mir-188	22	4.130040	N
hsa-mir-18a	36	6.758247	N
hsa-mir-18b	1	0.187729	N
hsa-mir-1908	0	0.000000	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190a	13	2.440478	N
hsa-mir-190b	4	0.750916	N
hsa-mir-191	1439	270.142158	N
hsa-mir-1910	0	0.000000	N
hsa-mir-1911	0	0.000000	N
hsa-mir-1912	0	0.000000	N
hsa-mir-1913	0	0.000000	N
hsa-mir-1914	0	0.000000	N
hsa-mir-1915	0	0.000000	N
hsa-mir-192	17059	3202.470515	Y
hsa-mir-193a	602	113.012911	N
hsa-mir-193b	103	19.336096	N
hsa-mir-194-1	3212	602.985831	N
hsa-mir-194-2	3599	675.636988	N
hsa-mir-195	337	63.264703	N
