miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	142806	29236.420990	N
hsa-let-7a-2	142550	29184.010561	Y
hsa-let-7a-3	143627	29404.502875	N
hsa-let-7b	236720	48463.268888	N
hsa-let-7c	102830	21052.204882	Y
hsa-let-7d	6090	1246.794979	N
hsa-let-7e	17391	3560.428816	N
hsa-let-7f-1	29585	6056.884970	N
hsa-let-7f-2	30123	6167.028763	N
hsa-let-7g	4148	849.212738	N
hsa-let-7i	4166	852.897846	N
hsa-mir-100	28281	5789.919345	Y
hsa-mir-101-1	38413	7864.225869	N
hsa-mir-101-2	39880	8164.562197	N
hsa-mir-103a-1	104684	21431.771038	Y
hsa-mir-103a-2	105321	21562.182927	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1	0.204728	N
hsa-mir-105-2	1	0.204728	N
hsa-mir-106a	61	12.488423	Y
hsa-mir-106b	3256	666.595148	N
hsa-mir-107	841	172.176450	Y
hsa-mir-10a	483	98.883740	N
hsa-mir-10b	17209	3523.168276	N
hsa-mir-1-1	22	4.504021	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	5	1.023641	N
hsa-mir-1180	185	37.874724	N
hsa-mir-1181	3	0.614185	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	18	3.685108	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	4	0.818913	N
hsa-mir-1227	1	0.204728	N
hsa-mir-1228	3	0.614185	N
hsa-mir-1229	2	0.409456	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	2	0.409456	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	1	0.204728	N
