miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	224978	48506.029889	N
hsa-let-7a-2	225077	48527.374629	Y
hsa-let-7a-3	225058	48523.278164	N
hsa-let-7b	238282	51374.418005	N
hsa-let-7c	56394	12158.740186	Y
hsa-let-7d	24187	5214.800313	N
hsa-let-7e	23474	5061.075063	N
hsa-let-7f-1	34268	7388.298555	N
hsa-let-7f-2	34749	7492.003808	N
hsa-let-7g	14075	3034.618366	N
hsa-let-7i	7656	1650.659908	N
hsa-mir-100	8251	1778.943953	Y
hsa-mir-101-1	1524	328.579637	N
hsa-mir-101-2	1568	338.066188	N
hsa-mir-103a-1	63757	13746.228287	Y
hsa-mir-103a-2	64027	13804.441215	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	6	1.293621	N
hsa-mir-105-2	11	2.371638	N
hsa-mir-106a	3	0.646810	N
hsa-mir-106b	4589	989.404169	N
hsa-mir-107	935	201.589213	Y
hsa-mir-10a	238	51.313618	N
hsa-mir-10b	282	60.800169	N
hsa-mir-1-1	9	1.940431	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	2	0.431207	N
hsa-mir-1180	553	119.228700	N
hsa-mir-1181	5	1.078017	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	6	1.293621	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	1	0.215603	N
hsa-mir-1224	4	0.862414	N
hsa-mir-1225	2	0.431207	N
hsa-mir-1226	29	6.252500	N
hsa-mir-1227	3	0.646810	N
hsa-mir-1228	1	0.215603	N
hsa-mir-1229	8	1.724827	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	8	1.724827	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	1	0.215603	N
hsa-mir-1238	1	0.215603	N
hsa-mir-124-1	5	1.078017	N
hsa-mir-124-2	8	1.724827	N
hsa-mir-1243	4	0.862414	N
hsa-mir-124-3	1	0.215603	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	74	15.954654	N
hsa-mir-1248	40	8.624137	N
hsa-mir-1249	122	26.303619	N
hsa-mir-1250	4	0.862414	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	5	1.078017	N
hsa-mir-1254-2	7	1.509224	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	27420	5911.846223	N
hsa-mir-125b-1	6450	1390.642164	N
hsa-mir-125b-2	6815	1469.337418	N
hsa-mir-126	7068	1523.885088	N
hsa-mir-1260a	2	0.431207	N
hsa-mir-1260b	1	0.215603	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	17	3.665258	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	20	4.312069	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	1	0.215603	N
hsa-mir-1269b	1	0.215603	N
hsa-mir-127	84	18.110689	N
hsa-mir-1270	93	20.051120	N
hsa-mir-1271	51	10.995775	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	23	4.958879	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	0	0.000000	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-128-1	1509	325.345585	N
hsa-mir-1282	0	0.000000	N
hsa-mir-128-2	964	207.841713	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	3	0.646810	N
hsa-mir-1284	0	0.000000	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	5556	1197.892692	N
hsa-mir-1288	7	1.509224	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-1290	1	0.215603	N
hsa-mir-1291	13	2.802845	N
hsa-mir-129-1	574	123.756372	N
hsa-mir-1292	8	1.724827	N
hsa-mir-129-2	564	121.600338	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	0	0.000000	N
hsa-mir-1295a	0	0.000000	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	148	31.909309	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	211	45.492325	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	1	0.215603	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	1	0.215603	N
hsa-mir-1304	36	7.761724	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	128	27.597240	N
hsa-mir-1307	12428	2679.519506	N
hsa-mir-130a	970	209.135333	N
hsa-mir-130b	143	30.831291	N
hsa-mir-132	1564	337.203774	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	10	2.156034	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	41	8.839741	Y
hsa-mir-133a-2	39	8.408534	Y
hsa-mir-133b	4	0.862414	Y
hsa-mir-134	48	10.348965	N
hsa-mir-1343	115	24.794395	N
hsa-mir-135a-1	0	0.000000	N
hsa-mir-135a-2	0	0.000000	N
hsa-mir-135b	21	4.527672	N
hsa-mir-136	5	1.078017	N
hsa-mir-137	0	0.000000	N
hsa-mir-138-1	47	10.133362	N
hsa-mir-138-2	11	2.371638	N
hsa-mir-139	296	63.818617	N
hsa-mir-140	44849	9669.598514	N
hsa-mir-141	19	4.096465	N
hsa-mir-142	55	11.858189	N
hsa-mir-143	39533	8523.450647	N
hsa-mir-144	36	7.761724	N
hsa-mir-145	2032	438.106183	N
hsa-mir-1468	40	8.624137	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	130334	28100.458265	N
hsa-mir-146b	298	64.249824	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	1	0.215603	N
hsa-mir-148a	158820	34242.137751	N
hsa-mir-148b	1007	217.112660	N
hsa-mir-149	439	94.649909	N
hsa-mir-150	138	29.753274	N
hsa-mir-151a	29319	6321.277149	N
hsa-mir-151b	125	26.950430	N
hsa-mir-152	1352	291.495846	N
hsa-mir-153-1	0	0.000000	N
hsa-mir-153-2	4	0.862414	N
hsa-mir-1537	0	0.000000	N
hsa-mir-1538	10	2.156034	N
hsa-mir-1539	2	0.431207	N
hsa-mir-154	1	0.215603	N
hsa-mir-155	1581	340.869033	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	127	27.381636	N
hsa-mir-15b	3205	691.009013	N
hsa-mir-16-1	701	151.138009	N
hsa-mir-16-2	771	166.230249	N
hsa-mir-17	8834	1904.640756	N
hsa-mir-181a-1	34682	7477.558377	N
hsa-mir-181a-2	81491	17569.739627	N
hsa-mir-181b-1	8328	1795.545417	N
hsa-mir-181b-2	8208	1769.673005	N
hsa-mir-181c	887	191.240248	N
hsa-mir-181d	147	31.693705	N
hsa-mir-182	6121	1319.708634	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	3964	854.652021	N
hsa-mir-184	16	3.449655	N
hsa-mir-185	2738	590.322209	N
hsa-mir-186	3610	778.328405	N
hsa-mir-187	717	154.587664	N
hsa-mir-188	29	6.252500	N
hsa-mir-18a	41	8.839741	N
hsa-mir-18b	1	0.215603	N
hsa-mir-1908	0	0.000000	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190a	11	2.371638	N
