miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	176460	28530.259925	N
hsa-let-7a-2	176287	28502.289082	Y
hsa-let-7a-3	176718	28571.973668	N
hsa-let-7b	165303	26726.383069	N
hsa-let-7c	108131	17482.747002	Y
hsa-let-7d	22958	3711.876388	N
hsa-let-7e	17831	2882.937010	N
hsa-let-7f-1	48864	7900.388876	N
hsa-let-7f-2	49646	8026.823553	N
hsa-let-7g	11163	1804.846943	N
hsa-let-7i	8030	1298.299825	N
hsa-mir-100	30205	4883.579854	Y
hsa-mir-101-1	121462	19638.118730	N
hsa-mir-101-2	122032	19730.276999	N
hsa-mir-103a-1	69202	11188.660588	Y
hsa-mir-103a-2	69762	11279.202045	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	2	0.323362	N
hsa-mir-105-2	2	0.323362	N
hsa-mir-106a	69	11.156001	Y
hsa-mir-106b	5434	878.575498	N
hsa-mir-107	1065	172.190450	Y
hsa-mir-10a	560	90.541457	N
hsa-mir-10b	2370	383.184382	N
hsa-mir-1-1	134	21.665277	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	2	0.323362	N
hsa-mir-1180	406	65.642557	N
hsa-mir-1181	9	1.455131	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	143	23.120408	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	2	0.323362	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	16	2.586899	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	7	1.131768	N
hsa-mir-1229	4	0.646725	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	2	0.323362	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	6	0.970087	N
hsa-mir-124-2	2	0.323362	N
hsa-mir-1243	0	0.000000	N
hsa-mir-124-3	2	0.323362	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	2	0.323362	N
hsa-mir-1247	11	1.778493	N
hsa-mir-1248	40	6.467247	N
hsa-mir-1249	167	27.000756	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	4	0.646725	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	7	1.131768	N
hsa-mir-1254-2	17	2.748580	N
hsa-mir-1255a	4	0.646725	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	24073	3892.150896	N
hsa-mir-125b-1	15065	2435.726883	N
hsa-mir-125b-2	15732	2543.568226	N
hsa-mir-126	13696	2214.385356	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	6	0.970087	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	34	5.497160	N
hsa-mir-1263	0	0.000000	N
