miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	296260	42162.693118	N
hsa-let-7a-2	297201	42296.612966	Y
hsa-let-7a-3	297275	42307.144389	N
hsa-let-7b	246867	35133.253095	N
hsa-let-7c	82899	11797.897444	Y
hsa-let-7d	8156	1160.733562	N
hsa-let-7e	72211	10276.818446	N
hsa-let-7f-1	107631	15317.669692	N
hsa-let-7f-2	109073	15522.890118	N
hsa-let-7g	5706	812.058081	N
hsa-let-7i	5049	718.556125	N
hsa-mir-100	15365	2186.693377	Y
hsa-mir-101-1	34460	4904.227384	N
hsa-mir-101-2	35377	5034.731636	N
hsa-mir-103a-1	137017	19499.783038	Y
hsa-mir-103a-2	137591	19581.472723	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	193	27.467089	N
hsa-mir-105-2	212	30.171103	N
hsa-mir-106a	42	5.977294	Y
hsa-mir-106b	3260	463.951865	N
hsa-mir-107	1218	173.341525	Y
hsa-mir-10a	3386	481.883747	N
hsa-mir-10b	12643	1799.307801	N
hsa-mir-1-1	230	32.732800	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.142317	N
hsa-mir-1180	305	43.406540	N
hsa-mir-1181	7	0.996216	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.142317	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	261	37.144613	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	10	1.423165	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	10	1.423165	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	13	1.850115	N
hsa-mir-1229	7	0.996216	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	3	0.426950	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	1	0.142317	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	38	5.408028	N
hsa-mir-124-2	59	8.396675	N
hsa-mir-1243	4	0.569266	N
hsa-mir-124-3	41	5.834977	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	1	0.142317	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	96	13.662386	N
hsa-mir-1248	31	4.411812	N
hsa-mir-1249	28	3.984863	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	2	0.284633	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	6	0.853899	N
hsa-mir-1254-2	9	1.280849	N
hsa-mir-1255a	1	0.142317	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	1	0.142317	N
hsa-mir-1258	4	0.569266	N
hsa-mir-125a	33678	4792.935863	N
hsa-mir-125b-1	8331	1185.638954	N
hsa-mir-125b-2	9218	1311.873709	N
hsa-mir-126	14222	2024.025591	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	15	2.134748	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	24	3.415597	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	35	4.981078	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	2	0.284633	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	1262	179.603452	N
hsa-mir-1270	11	1.565482	N
hsa-mir-1271	29	4.127179	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	1	0.142317	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	13	1.850115	N
hsa-mir-1276	1	0.142317	N
hsa-mir-1277	2	0.284633	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-128-1	2242	319.073645	N
hsa-mir-1282	0	0.000000	N
hsa-mir-128-2	1533	218.171230	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	0	0.000000	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	1301	185.153796	N
hsa-mir-1288	6	0.853899	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	1	0.142317	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	10	1.423165	N
hsa-mir-129-1	929	132.212050	N
hsa-mir-1292	17	2.419381	N
hsa-mir-129-2	969	137.904711	N
hsa-mir-1293	5	0.711583	N
hsa-mir-1294	1	0.142317	N
hsa-mir-1295a	3	0.426950	N
hsa-mir-1295b	2	0.284633	N
hsa-mir-1296	16	2.277064	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	2	0.284633	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	289	41.129475	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	1	0.142317	N
hsa-mir-1304	18	2.561697	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	102	14.516285	N
hsa-mir-1307	22735	3235.566151	N
